epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.83,3.41243,4.78418,4.2656,0.00182,0.22343,0.00189,0.00053,3.24512,5.01893,4.16447,0.000464425,0.000464425,0.000464425
2,215.089,3.19556,4.30213,3.89404,0.0021,0.19871,0.00163,0.00047,3.38072,5.00781,4.34164,0.000931445,0.000931445,0.000931445
3,293.005,3.05489,3.88454,3.49808,0.00214,0.20149,0.00224,0.00063,3.3506,4.7903,4.40025,0.00138903,0.00138903,0.00138903
4,370.62,2.84415,3.46398,3.22221,0.55741,0.07576,0.03644,0.00876,2.93616,4.88431,3.8632,0.00138656,0.00138656,0.00138656
5,449.26,2.71892,3.21868,3.04446,0.09024,0.10828,0.04766,0.0115,2.71837,3.53302,3.19345,0.00137241,0.00137241,0.00137241
6,525.365,2.57819,3.07736,2.89716,0.11336,0.11454,0.04644,0.01227,2.80181,3.65266,3.23173,0.00135826,0.00135826,0.00135826
7,601.316,2.44308,2.82713,2.76889,0.14275,0.1349,0.08886,0.0233,2.46342,3.37766,2.85309,0.00134412,0.00134412,0.00134412
8,677.321,2.40072,2.69356,2.66323,0.17861,0.27174,0.08599,0.02535,2.78506,3.53506,3.14383,0.00132997,0.00132997,0.00132997
9,754.302,2.29249,2.55632,2.56439,0.23442,0.39337,0.18205,0.05843,2.37567,3.00591,2.69342,0.00131582,0.00131582,0.00131582
10,830.621,2.24857,2.38843,2.51988,0.30181,0.26338,0.18701,0.05713,2.23997,2.82613,2.67809,0.00130168,0.00130168,0.00130168
11,907.868,2.17047,2.36736,2.46403,0.33595,0.47449,0.32698,0.13062,2.0961,2.18133,2.48004,0.00128753,0.00128753,0.00128753
12,984.944,2.14885,2.26868,2.41423,0.31909,0.31531,0.22863,0.08051,2.0791,2.49794,2.46292,0.00127338,0.00127338,0.00127338
13,1060.42,2.07295,2.19879,2.34523,0.31087,0.39093,0.31848,0.11904,2.04902,2.28232,2.43352,0.00125923,0.00125923,0.00125923
