epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.6388,3.7123,4.62152,4.35873,0.00086,0.09502,0.00051,0.00014,3.69689,4.62316,4.15914,0.00034,0.00034,0.00034
2,92.7323,3.61856,4.253,4.11983,0.00095,0.10407,0.0006,0.00015,3.68911,4.60439,4.15491,0.00068845,0.00068845,0.00068845
3,128.012,3.47644,3.75224,3.95806,0.00095,0.10407,0.00056,0.00015,3.66911,4.53917,4.15096,0.00102502,0.00102502,0.00102502
4,163.049,3.40741,3.66878,3.72096,0.00095,0.10407,0.00056,0.00013,3.69757,4.4517,4.21522,0.00134971,0.00134971,0.00134971
5,197.484,3.2244,3.44547,3.48061,0.00091,0.09955,0.00056,0.00018,3.68587,4.32208,4.41328,0.00166252,0.00166252,0.00166252
6,232.537,3.12139,3.07232,3.18216,0.00111,0.12217,0.00069,0.00021,3.60576,4.21485,4.60262,0.001835,0.001835,0.001835
7,266.745,3.03673,2.89728,2.93239,0.01052,0.0724,0.01155,0.0026,3.27886,4.04843,4.07403,0.001802,0.001802,0.001802
8,300.718,2.97319,2.82621,2.94627,0.09082,0.23529,0.04157,0.009,3.02884,3.46281,3.66911,0.001769,0.001769,0.001769
9,335.209,2.91076,2.65791,2.78158,0.21603,0.19457,0.1125,0.02767,2.8729,2.78114,2.95984,0.001736,0.001736,0.001736
10,369.748,2.82112,2.55895,2.68506,0.16269,0.22624,0.10244,0.03162,2.68536,2.79116,2.81202,0.001703,0.001703,0.001703
11,403.97,2.75323,2.38314,2.59122,0.22561,0.24887,0.14138,0.03899,2.70707,2.53874,2.71915,0.00167,0.00167,0.00167
12,438.799,2.76166,2.3197,2.56525,0.27383,0.24887,0.17449,0.04291,2.6152,2.61064,2.67037,0.001637,0.001637,0.001637
13,474.323,2.67508,2.29945,2.57832,0.32669,0.29412,0.19919,0.05772,2.62352,4.19553,2.61576,0.001604,0.001604,0.001604
14,509.69,2.63702,2.28409,2.55131,0.11556,0.35747,0.10375,0.03141,2.64276,2.93809,2.61653,0.001571,0.001571,0.001571
15,544.818,2.51786,2.19805,2.44272,0.33184,0.26244,0.20383,0.0721,2.58893,2.56036,2.62241,0.001538,0.001538,0.001538
16,579.148,2.43318,2.00537,2.34131,0.35436,0.38462,0.30843,0.10098,2.38696,2.15054,2.38072,0.001505,0.001505,0.001505
17,613.093,2.43407,1.96069,2.29502,0.4478,0.39367,0.35454,0.11509,2.35711,2.18129,2.31723,0.001472,0.001472,0.001472
18,646.932,2.39931,1.95567,2.31782,0.50522,0.38349,0.37915,0.12748,2.3142,2.09096,2.32778,0.001439,0.001439,0.001439
19,680.747,2.36288,1.87405,2.26639,0.52927,0.40701,0.42354,0.15076,2.32293,1.90704,2.29822,0.001406,0.001406,0.001406
20,714.69,2.37119,1.98698,2.37475,0.32275,0.31222,0.25604,0.10577,2.21609,2.42402,2.24997,0.001373,0.001373,0.001373
21,748.444,2.29129,1.86141,2.14337,0.37742,0.35294,0.30818,0.10044,2.38984,2.09889,2.37319,0.00134,0.00134,0.00134
22,782.411,2.27208,1.7944,2.15996,0.5272,0.41878,0.43952,0.16497,2.18785,1.83985,2.16195,0.001307,0.001307,0.001307
23,816.094,2.19462,1.72748,2.11637,0.55221,0.42534,0.45366,0.17918,2.10037,1.79977,2.18099,0.001274,0.001274,0.001274
24,849.74,2.18451,1.77386,2.18925,0.58922,0.51584,0.51183,0.18839,2.08143,1.79589,2.1459,0.001241,0.001241,0.001241
25,882.817,2.14037,1.73965,2.10522,0.6077,0.50469,0.5646,0.22747,1.98956,1.67821,2.0563,0.001208,0.001208,0.001208
26,916.218,2.15859,1.76562,2.12861,0.62301,0.56831,0.59364,0.22399,2.10406,1.69878,2.07872,0.001175,0.001175,0.001175
27,950.287,2.08875,1.61947,2.00846,0.59111,0.49774,0.54856,0.21278,2.05836,1.78063,2.10612,0.001142,0.001142,0.001142
28,984.183,2.09914,1.58339,1.99384,0.59784,0.54486,0.56621,0.24567,1.90613,1.59661,1.99507,0.001109,0.001109,0.001109
29,1017.82,2.03799,1.5125,1.97848,0.76905,0.62443,0.66772,0.28717,1.92617,1.5447,1.96518,0.001076,0.001076,0.001076
30,1051.48,2.07247,1.61496,2.0305,0.71665,0.54751,0.62137,0.25844,1.9437,1.56333,1.95674,0.001043,0.001043,0.001043
31,1085.6,2.01322,1.51081,1.96949,0.79835,0.57919,0.6567,0.30079,1.88058,1.51017,1.94204,0.00101,0.00101,0.00101
32,1119.09,1.96251,1.46639,1.90202,0.72544,0.60633,0.65982,0.29105,1.87709,1.50158,1.94232,0.000977,0.000977,0.000977
